arquivo;estados;animacoes;quadros;icone;folha;overflow
Character Icons\Frost Demons\Changeling Koola 2.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Changeling Koola Expand 2.dmi;8;20;41;32x32;224x192;
Character Icons\Frost Demons\Changeling Koola Expand.dmi;7;19;46;32x32;224x224;
Character Icons\Frost Demons\Changeling Koola Form 2.dmi;7;19;62;32x32;256x256;
Character Icons\Frost Demons\Changeling Koola Form 3, 2.dmi;8;23;69;32x32;288x256;
Character Icons\Frost Demons\Changeling Koola Form 3.dmi;8;20;41;32x32;224x192;
Character Icons\Frost Demons\Changeling Koola Form 4, 3.dmi;8;23;84;32x32;320x288;
Character Icons\Frost Demons\Changeling Koola Form 4.dmi;7;19;110;32x32;352x320;
Character Icons\Frost Demons\Changeling Koola.dmi;8;20;39;32x32;224x192;
Character Icons\Frost Demons\Changeling Kuriza.dmi;8;20;38;32x32;224x192;
Character Icons\Frost Demons\Changeling.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Changling - Form 1.dmi;17;47;139;32x32;384x384;
Character Icons\Frost Demons\Changling - Form 2 Orange.dmi;15;45;135;32x32;384x384;
Character Icons\Frost Demons\Changling - Form 2.dmi;15;45;135;32x32;384x384;
Character Icons\Frost Demons\Changling - Form 3 Orange.dmi;15;45;108;32x32;352x320;
Character Icons\Frost Demons\Changling - Form 3.dmi;15;45;108;32x32;352x320;
Character Icons\Frost Demons\Changling - Form 6 - Orange.dmi;12;36;129;32x32;384x352;
Character Icons\Frost Demons\Changling - Form 6.dmi;12;36;129;32x32;384x352;
Character Icons\Frost Demons\ChanglingForm7.dmi;16;49;159;32x32;416x416;
Character Icons\Frost Demons\ChanglingMetal.dmi;10;34;111;32x32;352x352;
Character Icons\Frost Demons\Cooler Form 4.dmi;8;23;69;32x32;288x256;
Character Icons\Frost Demons\Frieza.dmi;7;16;44;32x32;224x224;
Character Icons\Frost Demons\Frostdemon Form 3.dmi;8;23;66;32x32;288x256;
Character Icons\Frost Demons\Frostdemon Form 4.dmi;8;23;67;32x32;288x256;
Character Icons\Frost Demons\Frostdemon Full Power.dmi;8;23;71;32x32;288x256;
Character Icons\Frost Demons\Frostdemon Kold.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Frostdemon Koola.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Frostdemon.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\King Kold Form 2 Orange.dmi;7;19;34;32x32;192x192;
Character Icons\Frost Demons\King Kold Form 2.dmi;7;19;34;32x32;192x192;
Character Icons\Frost Demons\Koola Final Form.dmi;8;23;84;32x32;320x288;
Character Icons\Frost Demons\Mecha Frieza.dmi;10;28;102;32x32;352x320;
Character Icons\Kais\Chronoa.dmi;9;21;42;32x32;224x192;
Character Icons\Kais\Kai - Female.dmi;13;31;95;32x32;320x320;
Character Icons\Kais\Kai - Grand.dmi;11;26;70;32x32;288x256;
Character Icons\Kais\Kai - King.dmi;13;37;127;32x32;384x352;
Character Icons\Kais\Kai - Purple.dmi;8;20;54;32x32;256x224;
Character Icons\Kais\Kai - Red.dmi;8;20;54;32x32;256x224;
Character Icons\Kais\Kai - Supreme.dmi;13;37;135;32x32;384x384;
Character Icons\Kais\Kaio.dmi;8;20;46;32x32;224x224;
Character Icons\Kais\King Kai.dmi;3;6;23;32x32;160x160;
Character Icons\Majins\female majin base (small).dmi;10;25;79;32x32;288x288;
Character Icons\Majins\Female Majin.dmi;11;29;58;32x32;256x256;
Character Icons\Majins\JonatMajin.dmi;12;30;113;32x32;352x352;
Character Icons\Majins\Majin - Form 1.dmi;14;38;230;32x32;512x480;
Character Icons\Majins\Majin - Form 2.dmi;13;37;233;32x32;512x480;
Character Icons\Majins\Majin - Form 3.dmi;12;30;228;32x32;512x480;
Character Icons\Majins\Majin - Form 4.dmi;13;34;226;32x32;512x480;
Character Icons\Majins\Majin.dmi;10;28;57;32x32;256x256;
Character Icons\Majins\Majin1.dmi;14;29;81;32x32;288x288;
Character Icons\Majins\MajinForm11.dmi;12;33;155;32x32;416x384;
Character Icons\Majins\MajinForm5.dmi;16;46;139;32x32;384x384;
Character Icons\Misc\Angel Female.dmi;8;20;41;32x32;224x192;
Character Icons\Misc\Angel Male.dmi;8;20;41;32x32;224x192;
Character Icons\Misc\Arlian.dmi;7;16;35;32x32;192x192;
Character Icons\Misc\Babidi.dmi;10;25;84;32x32;320x288;
Character Icons\Misc\BabyBoy.dmi;8;20;41;32x32;224x192;
Character Icons\Namekians\Albino Namek.dmi;9;27;75;32x32;288x288;
Character Icons\Namekians\Namek - Shadow.dmi;10;28;54;32x32;256x224;
Character Icons\Namekians\Namek 2.dmi;8;20;41;32x32;224x192;
Character Icons\Namekians\Namek Adult.dmi;8;23;42;32x32;224x192;
Character Icons\Namekians\Namek Young.dmi;8;23;42;32x32;224x192;
Character Icons\Namekians\Namek.dmi;8;20;41;32x32;224x192;
Character Icons\Namekians\NamekOld - Guru Style.dmi;9;24;45;32x32;224x224;
Character Icons\Namekians\NamekOld.dmi;7;19;38;32x32;224x192;
Character Icons\shitbeast\Shitbeast.dmi;8;20;35;32x32;1120x32;
Character Icons\Transformations\GoldIcer.dmi;13;37;125;32x40;416x400;
Character Icons\Transformations\goldoozaruhayate.dmi;21;78;130;96x96;1152x1056;
Character Icons\Transformations\oozaruhayate.dmi;21;78;130;96x96;1152x1056;
Clothes\Armor\Armor 8.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Armor Bardock.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Armor Yardrat.dmi;8;23;62;32x32;256x256;
Clothes\Armor\Armor, Azure.dmi;9;21;42;32x32;224x192;
Clothes\Armor\Armor.dmi;10;37;66;32x32;288x256;
Clothes\Armor\Armor1.dmi;8;23;62;32x32;256x256;
Clothes\Armor\Armor2.dmi;8;23;62;32x32;256x256;
Clothes\Armor\Armor_Elite.dmi;6;15;55;32x32;256x224;
Clothes\Armor\Armor_Rit1.dmi;6;15;55;32x32;256x224;
Clothes\Armor\Armor_Rit2.dmi;6;15;55;32x32;256x224;
Clothes\Armor\BlueArmor.dmi;6;12;27;32x32;192x160;
Clothes\Armor\Clothes_Armor1.dmi;8;23;62;32x32;256x256;
Clothes\Armor\Clothes_Armor2.dmi;8;23;62;32x32;256x256;
Clothes\Armor\Clothes_ArmorTorsoandBoots.dmi;9;24;45;32x32;224x224;
Clothes\Armor\Clothes_VegetaDBSArmor.dmi;10;31;70;32x32;288x256;
Clothes\Armor\Clothes_VegetaSaiyanSagaArmor.dmi;8;14;29;32x32;192x160;
Clothes\Armor\GinsDynastyArmorRed.dmi;7;13;31;32x32;992x32;
Clothes\Armor\Golden Armor.dmi;7;19;34;32x32;192x192;
Clothes\Armor\Guild Armor Gold.dmi;8;29;81;32x32;288x288;
Clothes\Armor\Nappa Armor.dmi;6;15;55;32x32;256x224;
Clothes\Armor\RaditzArmorTobiUchiha.dmi;6;12;27;32x32;192x160;
Clothes\Armor\RedArmor.dmi;6;12;27;32x32;192x160;
Clothes\Armor\TurlesArmorTobiUchiha.dmi;6;12;27;32x32;192x160;
Clothes\Armor\UncolouredArmourPlating.dmi;8;20;41;32x32;224x192;
Clothes\Armor\White Male Armor.dmi;8;20;41;32x32;224x192;
Clothes\Armor\WhiteMaleArmor.dmi;8;20;41;32x32;1312x32;
Clothes\Armor\WTFArmor.dmi;6;12;28;32x32;192x160;
Hair\SSJ Hairs\Caulifla_Hair_SSJ.dmi;10;25;61;32x32;256x256;
Hair\SSJ Hairs\Caulifla_Hair_SSJ2.dmi;9;24;57;32x32;256x256;
Hair\SSJ Hairs\Caulifla_Hair_SSjFP.dmi;10;25;49;32x32;224x224;
Hair\SSJ Hairs\Caulifla_Hair_USSJ.dmi;10;25;61;32x32;256x256;
Hair\SSJ Hairs\Hair AfroSSJ.dmi;8;20;41;32x32;224x192;
Hair\SSJ Hairs\Hair VegetaSSJ4.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\HairBrolyLssj.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\HairBrolySSj.dmi;9;21;36;32x32;192x192;
Hair\SSJ Hairs\HairFemalePonyTailSSj.dmi;8;20;48;32x32;224x224;
Hair\SSJ Hairs\HairPonytailSSJ.dmi;7;19;34;32x32;192x192;
Hair\SSJ Hairs\HairPonytailSSJFP.dmi;7;19;34;32x32;192x192;
Hair\SSJ Hairs\Hair_BrolyLssj.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_BrolySSj.dmi;9;21;36;32x32;192x192;
Hair\SSJ Hairs\Hair_CloudSSJ.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_FemaleLongSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_FutureGohanSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GohanSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GohanSSjFP.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GohanUSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GokuSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GokuSSj3.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GokuSSjFP.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GokuUSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_GTVegetaSSj.dmi;8;23;63;32x32;256x256;
Hair\SSJ Hairs\Hair_Karoly.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_KidGohanSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_KidGohanSSj2.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\Hair_KidGohanSSjFP.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_KidGohanUSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_LongSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_LongSSjFP.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_LongUSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_Long_PonytailSSJ.dmi;9;24;40;32x32;224x192;
Hair\SSJ Hairs\Hair_MohawkSSj.dmi;8;23;63;32x32;256x256;
Hair\SSJ Hairs\Hair_RaditzSSj.dmi;9;27;66;32x32;288x256;
Hair\SSJ Hairs\Hair_RaditzSSjFP.dmi;9;27;66;32x32;288x256;
Hair\SSJ Hairs\Hair_SpikeSSj.dmi;8;23;63;32x32;256x256;
Hair\SSJ Hairs\Hair_SSj4.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_SSJ4Female.dmi;9;24;69;32x32;288x256;
Hair\SSJ Hairs\Hair_SSJ4Gogeta.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_TotallyRoxasSSJNotJustFlippedGohanSSJ.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_TrunksUSSj.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_VegetaSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_VegetaSSjFP.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_VegetaUSSj.dmi;8;23;62;32x32;256x256;
Hair\SSJ Hairs\Hair_VegitoSSj.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Hair_YamchaSSj.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\Inferno SSJ.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\Inferno SSJFP.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\Inferno USSJ.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\Kale Hair LSSJ.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\Kale Hair SSJ.dmi;8;20;35;32x32;192x192;
Hair\SSJ Hairs\LongFemaleHairssj.dmi;10;25;52;32x32;256x224;
Hair\SSJ Hairs\LSS3.dmi;7;16;31;32x32;192x192;
Hair\SSJ Hairs\SSJ Zelos.dmi;8;23;38;32x32;224x192;
Hair\SSJ Hairs\VegitoHairPVPSSj2.dmi;9;27;70;32x32;288x256;
Hair\SSJ Hairs\VegitoHairPVPSSjFP.dmi;8;20;35;32x32;192x192;
Misc\effects\AmbientOcclusion.dmi;3;3;3;32x32;64x64;
Misc\effects\Attack strength indicator concept.dmi;4;4;25;32x32;160x160;
Misc\effects\attackspark.dmi;6;6;6;68x68;204x136;
Misc\effects\beamaxis.dmi;1;1;4;96x96;192x192;
Misc\effects\bigboom.dmi;1;1;10;512x512;2048x1536;
Misc\effects\bigrocktest.dmi;1;1;1;156x171;156x171;
Misc\effects\Blackness2017.dmi;1;1;1;32x32;32x32;
Misc\effects\Bleeding.dmi;1;1;4;32x32;64x64;
Misc\effects\Bloodspray.dmi;13;28;28;68x68;408x340;
Misc\effects\Bloody body.dmi;2;5;17;32x32;160x128;
Misc\effects\CaveLight.dmi;1;1;1;32x32;32x32;
Misc\effects\Craters2.dmi;7;7;7;96x96;288x288;
Misc\effects\DirtPatchOverlays.dmi;8;8;8;32x32;96x96;
Misc\effects\Explosion.dmi;2;2;17;32x32;160x128;
Misc\effects\Explosion1.dmi;1;1;3;224x180;672x180;
Misc\effects\Explosion12013.dmi;5;5;9;80x80;240x240;
Misc\effects\Explosion2.dmi;1;1;5;64x64;192x128;
Misc\effects\Explosion3.dmi;1;1;6;48x64;288x64;
Misc\effects\Explosion4.dmi;1;1;16;62x44;248x176;
Misc\effects\Explosion5.dmi;1;1;3;224x180;448x360;
Misc\effects\Explosion6.dmi;1;1;3;224x180;448x360;
Misc\effects\explosionnuke.dmi;1;1;5;256x256;768x512;
Misc\effects\Fireflies.dmi;3;3;45;64x64;448x448;
Misc\effects\Floorblood.dmi;1;1;1;70x30;70x30;
Misc\effects\fogcloud.dmi;5;20;32;150x150;900x900;
Misc\effects\LightPortal.dmi;1;1;16;100x100;400x400;
Misc\effects\RisingRocks.dmi;1;1;4;32x32;128x32;
Misc\effects\SBombGivePower.dmi;1;1;4;32x32;128x32;
Misc\effects\Shockwavecustom128.dmi;2;2;10;128x128;512x384;
Misc\effects\Shockwavecustom256.dmi;2;2;10;256x256;1024x768;
Misc\effects\Shockwavecustom512.dmi;2;2;10;512x512;2048x1536;
Misc\effects\Shockwavecustom64.dmi;3;3;15;64x64;256x256;
Misc\effects\SpiritBombParticle.dmi;1;1;4;32x32;64x64;
Misc\effects\Sunfield.dmi;1;1;4;256x256;512x512;
Misc\effects\SwarmofFlies.dmi;1;1;4;64x64;128x128;
Misc\effects\SwirlingSmokeEffect.dmi;1;1;45;256x256;1792x1792;
Misc\effects\swirlingwhiteenergy.dmi;1;1;10;256x256;1024x768;
Misc\effects\TorchLightCircle.dmi;1;1;2;517x517;1034x517;
Misc\effects\WhiteFlashingCircle.dmi;3;3;9;128x128;384x384;
Misc\effects\windeffect.dmi;1;8;56;32x32;256x224;
Misc\HUD\EightGatesIcon.dmi;1;1;15;32x32;128x128;
Misc\HUD\GKiBar.dmi;6;6;13;64x32;192x160;
Misc\HUD\health_enemy.dmi;14;14;42;32x32;224x192;
Misc\HUD\health_hud.dmi;10;10;10;96x96;384x288;
Misc\HUD\health_hud_abdomen.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_base.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_head.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_leftarm.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_leftleg.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_reproductive_organs.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_rightarm.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_rightleg.dmi;6;6;6;96x96;288x192;
Misc\HUD\health_hud_torso.dmi;6;6;6;96x96;288x192;
Misc\HUD\KiBar.dmi;6;6;17;64x32;192x192;
Misc\HUD\screen_midnight.dmi;35;35;35;32x32;192x192;
Misc\HUD\SenseBubble.dmi;1;1;8;32x32;96x96;
Misc\HUD\SSJIcon.dmi;1;1;1;32x32;32x32;
Misc\HUD\StaBar.dmi;6;6;9;64x32;128x160;
Misc\HUD\TargetReticle.dmi;1;1;1;32x32;32x32;
Misc\HUD\text.dmi;96;96;96;32x32;320x320;
Misc\HUD\TypingIcon.dmi;1;1;4;32x32;64x64;
Misc\HUD\TypingIconOld.dmi;1;1;4;32x32;64x64;
Misc\HUD\zone_sel.dmi;9;9;9;32x32;96x96;
Misc\Objects\Alchemy Bottle.dmi;1;1;3;32x32;64x64;
Misc\Objects\Crafting Plan.dmi;1;1;1;32x32;32x32;
Misc\Objects\PunchingBag.dmi;3;3;3;32x32;96x32;
NPCs\Zombies\Zombie Dog.dmi;1;4;32;32x32;192x192;
NPCs\Zombies\Zombie Hunter.dmi;3;12;28;32x32;192x160;
NPCs\Zombies\Zombie Licker.dmi;3;12;28;32x32;192x160;
NPCs\Zombies\Zombie Nemesis.dmi;2;8;24;32x32;160x160;
NPCs\Zombies\Zombie Thanatos.dmi;1;4;16;32x32;128x128;
NPCs\Zombies\Zombie Tyrant.dmi;2;8;24;32x32;160x160;
NPCs\Zombies\Zombie X.dmi;2;8;24;32x32;160x160;
NPCs\Zombies\Zombie.dmi;1;4;16;32x32;128x128;
Turfs\BigTurfs\BigDirtTurf2.dmi;17;17;17;32x32;160x128;
Turfs\BigTurfs\BigDirtTurfs.dmi;17;17;17;32x32;160x128;
Turfs\BigTurfs\BigGrass.dmi;17;17;17;32x32;160x128;
Turfs\BigTurfs\BigGrassandDirtTurf.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\BigGrassTurf2.dmi;10;10;10;32x32;128x96;
Turfs\BigTurfs\BigIceTurf.dmi;17;17;17;32x32;160x128;
Turfs\BigTurfs\BigIceTurf2.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\BigIceTurf3.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\BigSandTurf.dmi;17;17;17;32x32;160x128;
Turfs\BigTurfs\BigSnowandRockTurf.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\BigSnowTurf.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\CartoonWater2017.dmi;17;17;544;32x32;768x736;
Turfs\BigTurfs\hdsky3.dmi;5;5;5;32x32;96x64;
Turfs\BigTurfs\HellGround2017.dmi;37;37;37;32x32;224x192;
Turfs\BigTurfs\Lava2017.dmi;16;16;160;32x32;416x416;
Turfs\BigTurfs\namekwater.dmi;16;16;256;32x32;512x512;
Turfs\BigTurfs\ToxicWater.dmi;36;36;1044;32x32;1056x1024;
Turfs\BigTurfs\vegetawater.dmi;16;16;256;32x32;512x512;
Turfs\BigTurfs\voidturf.dmi;1025;1025;1025;32x32;1056x1024;
Turfs\BigTurfs\WaterBlue2017.dmi;36;36;1044;32x32;1056x1024;
Turfs\BigTurfs\WaterBlue22017.dmi;16;16;256;32x32;512x512;
Turfs\BigTurfs\yelsky.dmi;257;257;257;32x32;544x512;
Turfs\Edges\Edges.dmi;5;5;5;32x32;96x64;
Turfs\Edges\Edges1.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges2.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges3.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges4.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges5.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges6.dmi;3;3;3;32x32;64x64;
Turfs\Edges\Edges7.dmi;3;3;3;32x32;64x64;
Turfs\Objects\ArtificalObj.dmi;19;19;43;32x32;224x224;
Turfs\Objects\Door1.dmi;5;5;33;32x32;192x192;
Turfs\Objects\Door2.dmi;5;5;23;32x32;160x160;
Turfs\Objects\Door3.dmi;5;5;103;32x32;352x320;
Turfs\Objects\Door4.dmi;5;5;9;32x32;96x96;
Turfs\Objects\Door5.dmi;5;20;52;32x32;256x224;
Turfs\Objects\Door6.dmi;5;5;9;32x32;96x96;
Turfs\Objects\Doors.dmi;12;12;52;32x32;256x224;
Turfs\Objects\Edges.dmi;19;40;40;32x32;224x192;
Turfs\Objects\Gardening.dmi;58;58;74;32x32;288x288;
Turfs\Objects\LargeBed.dmi;1;1;1;76x58;76x58;
Turfs\Objects\Materials.dmi;13;13;13;32x32;128x128;
Turfs\Objects\Objects.dmi;49;49;58;32x32;256x256;
Turfs\Objects\Rocks.dmi;3;3;3;32x32;64x64;
Turfs\Objects\Surf.dmi;18;18;111;32x32;352x352;
Turfs\Objects\Technology32x64.dmi;2;2;2;32x64;64x64;
Turfs\Objects\Technology64x64.dmi;3;3;3;64x64;128x128;
Turfs\Objects\Train Large.dmi;4;4;4;251x153;502x306;
Turfs\Objects\Trees.dmi;65;65;65;32x32;288x256;
Turfs\Objects\TurfOverlays.dmi;5;5;5;32x32;96x64;
Turfs\Surf\Surf1.dmi;2;2;14;32x32;128x128;
Turfs\Surf\Surf2.dmi;2;2;8;32x32;96x96;
Turfs\Surf\Surf3.dmi;2;2;29;32x32;192x160;
Turfs\Surf\Surf4.dmi;2;2;8;32x32;96x96;
Turfs\Surf\Surf5.dmi;2;2;10;32x32;128x96;
Turfs\Surf\Surf6.dmi;2;2;14;32x32;128x128;
Weapons\Staffs\MageStaff.dmi;6;15;19;32x32;160x128;
Weapons\Staffs\MageStaff2.dmi;8;20;27;32x32;192x160;
Weapons\Staffs\MageStaff3.dmi;8;20;27;32x32;192x160;
Weapons\Staffs\MageStaff4.dmi;8;20;27;32x32;192x160;
Weapons\Staffs\MageStaff5.dmi;8;20;27;32x32;192x160;
Weapons\Staffs\MageStaff6.dmi;6;15;19;32x32;160x128;
Weapons\Staffs\MageStaff8.dmi;8;20;27;32x32;192x160;
Clothes\Armor\Mandalorian\Armour.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Mandalorian\Boba Fett.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Mandalorian\Dark Jango.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Mandalorian\Jumpsuit.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Mandalorian\Mandalorian helmet.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Mandalorian\Uncoloured Armour Plating.dmi;8;20;41;32x32;224x192;
Clothes\Armor\Phoenix Armour\Phoenix Full (Makyo).dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Full (Moonlight).dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Full (Negative Makyo).dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Full (Negative).dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Full.dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Pauldrons Makyo.dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Pauldrons.dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Torso (Makyo).dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\Phoenix Torso.dmi;10;28;59;32x32;256x256;
Clothes\Armor\Phoenix Armour\unused1.dmi;9;27;57;32x32;256x256;
Clothes\Armor\Phoenix Armour\unused2.dmi;9;27;57;32x32;256x256;
Clothes\Armor\Phoenix Armour\unused3.dmi;10;28;143;32x32;384x384;
Clothes\Armor\Phoenix Armour\unused4.dmi;10;28;49;32x32;224x224;
Clothes\Armor\Phoenix Armour\unused5.dmi;10;28;49;32x32;224x224;
Clothes\Armor\Phoenix Armour\unused6.dmi;10;28;49;32x32;224x224;
Clothes\Armor\Shields\Hyrule Shield.dmi;9;27;97;32x32;320x320;
Clothes\Armor\Shields\Hyrule Warriors Shield.dmi;9;27;90;32x32;320x288;
Clothes\Armor\Shields\Hyrule_Shield_Clean_Meditate.dmi;9;27;90;32x32;320x288;
Clothes\Armor\Shields\Knight shield.dmi;5;14;32;32x32;192x192;
Clothes\Armor\Shields\Mirror_Shield.dmi;9;27;90;32x32;320x288;
Clothes\Armor\Shields\shield3.dmi;9;21;36;32x32;192x192;
Clothes\Armor\Shields\shield3Blue.dmi;9;21;36;32x32;192x192;
Clothes\Armor\Shields\shield3Geo.dmi;9;21;36;32x32;192x192;
Clothes\Armor\Shields\ShieldGrey.dmi;9;24;39;32x32;224x192;
Misc\Objects\Accessories\Quartz Charm.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Bat.dmi;1;4;12;32x32;128x96;
Misc\Objects\Food\Food Beer.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Burned.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Cake.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Candy.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Canteen.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Chicken.dmi;1;4;12;32x32;128x96;
Misc\Objects\Food\Food Chocolate.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Cookie.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Corn.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Cow.dmi;1;4;16;32x32;128x128;
Misc\Objects\Food\Food Dino Eggs.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Dino Tail.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Dinobird.dmi;1;4;8;32x32;96x96;
Misc\Objects\Food\Food Egg.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Fish.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Grapes.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Green Apple.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Jungle Fruit.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Ky'Lin Su.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Leg.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Lion.dmi;1;4;16;32x32;128x128;
Misc\Objects\Food\Food Majin.dmi;1;1;6;32x32;96x64;
Misc\Objects\Food\Food Meat Leg.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Milk Jug.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Milk.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Namek Fruit.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Onion.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Pie.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Potato.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Red Apple.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Reptile Tail.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Rice.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Sake.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Soda.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Steak.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Tea.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Tomato.dmi;1;1;1;32x32;32x32;
Misc\Objects\Food\Food Turnip.dmi;1;1;1;32x32;32x32;
Misc\Objects\Items\antidote.dmi;1;1;1;32x32;32x32;
Misc\Objects\Items\Antivirus.dmi;1;1;1;32x32;32x32;
Misc\Objects\Items\Bandage.dmi;1;1;1;32x32;32x32;
